status_id,created_at,year,screen_name,text,favorite_count,retweet_count,hashtags,display_text_width
x266038556504494082,11/7/12,2012,realDonaldTrump,The electoral college is a disaster for a democracy.,112404,152855,,52
x257552283850653696,10/14/12,2012,realDonaldTrump,I have never seen a thin person drinking  Diet Coke.,112327,107043,,52
x265895292191248385,11/6/12,2012,realDonaldTrump,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,67750,105024,,117
x260482827458592768,10/22/12,2012,realDonaldTrump,"Everyone knows I am right that Robert Pattinson should dump Kristen Stewart. In a couple of years, he will thank me. Be smart, Robert.",67040,59976,,134
x266037143628038144,11/7/12,2012,realDonaldTrump,Our country is now in serious and unprecedented  trouble...like never before.,29217,54476,,77
x266035509162303492,11/7/12,2012,realDonaldTrump,This election is a total sham and a travesty. We are not a democracy!,17980,44590,,69
x243365239196876801,9/5/12,2012,realDonaldTrump,Very good speech by @MichelleObama--and under great pressure--Dems should be proud!,32381,31826,,83
x266034630820507648,11/7/12,2012,realDonaldTrump,We can't let this happen. We should march on Washington and stop this travesty. Our nation is totally divided!,18663,30685,,110
x258262904091058176,10/16/12,2012,realDonaldTrump,"The Coca Cola company is not happy with me--that's okay, I'll still keep drinking that garbage.",37688,29250,,95
x258640349872926720,10/17/12,2012,realDonaldTrump,Robert Pattinson should not take back Kristen Stewart. She cheated on him like a dog &amp; will do it again--just watch. He can do much better!,23221,25171,,143
x255784560904773633,10/9/12,2012,realDonaldTrump,Now that Obamaäó»s poll numbers are in tailspin äóñ watch for him to launch a strike in Libya or Iran.  He is desperate.,15392,25137,,116
x232572505238433794,8/6/12,2012,realDonaldTrump,An 'extremely credible source' has called my office and told me that @BarackObama's birth certificate is a fraud.,18926,23976,,113
x266276897305026560,11/7/12,2012,realDonaldTrump,"Pervert alert.  @RepWeiner is back on twitter. All girls under the age of 18, block him immediately.",22357,20659,,100
x272495768902959104,11/25/12,2012,realDonaldTrump,"Hope everyone enjoyed their Thanksgiving. But get ready, our country is in big trouble!",17809,19268,,87
x255294883680632833,10/8/12,2012,realDonaldTrump,"Got to do something about these missing chidlren grabbed by the perverts. Too many incidents--fast trial, death penalty.",23788,18138,,120
x260549166776852480,10/23/12,2012,realDonaldTrump,Stop congratulating Obama for killing Bin Laden. The Navy Seals killed Bin Laden. #debate,4893,16907,debate,89
x258584864163500033,10/17/12,2012,realDonaldTrump,My twitter has become so powerful that I can actually make my enemies tell the truth.,20341,14470,,85
x258575681275965440,10/17/12,2012,realDonaldTrump,Polls are starting to look really bad for Obama. Looks like he'll have to start a war or major conflict to win. Don't put it past him!,9987,13113,,134
x156829591267328000,1/10/12,2012,realDonaldTrump,3 Chief of Staffs in less than 3 years of being President: Part of the reason why @BarackObama can't manage to pass his agenda.,9393,12754,,127
x280812064539283457,12/17/12,2012,realDonaldTrump,Video game violence &amp; glorification must be stoppedäóîit is creating monsters!,7699,10333,,80
x278255308009267200,12/10/12,2012,realDonaldTrump,"äóìYou canäó»t con people, at least not for long.  If you donäó»t deliver the goods, people will eventually catch on.äóù - The Art of The Deal",10384,9700,,134
x222739756105207808,7/10/12,2012,realDonaldTrump,"Why is @BarackObama constantly issuing executive orders that are major power grabs of authority? This is the latest
 http://t.co/4IVBckTE",5957,9527,,137
x263335564412076032,10/30/12,2012,realDonaldTrump,I never fall for scams.  I am the only person who immediately walked out of my äóÖAli Gäó» interview,9268,9199,,96
x240462265680289792,8/28/12,2012,realDonaldTrump,.@ariannahuff is unattractive both inside and out. I fully understand why her former husband left her for a man- he made a good decision.,8034,9187,,137
